,Campaign Title,Community Name,Ethereum Address,Staked Tokens,Share of Staked Tokens,PAN Donated,Donation Count,Fair Share Score from PAN Donations,Total Quarterly Fundraising,Recurring Event Attendance,Fair Share Score from Proof of Community,Coalition,Coalition Bonus,Leadership,Leadership Bonus,Fair Share Score,Fair Share,Utilized Fair Share Score,Utilized Fair Share,Subsidy Points,Matching Progress,,Share of Subsidy,Target Staking Share,Maximum Staking Total,Remaining PAN to Stake,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY)
,Akasha ,Akasha Hub Barcelona,0x842b87e0f5dd45ab5ff972b4d71f238ffad8ad3d,"2,258.77",0.04%,53.19,3,7.94,,,11.18,,0.00,,0.00,19.12,0.0913%,7.41,0.1752%,1.50,7.83%,,0.08%,0.4510%,"28,892.57","26,633.80",948.02,"1,001.21",$103.78,18.82x,140.18%
,WhalerDAO,WhalerDAO,0x0e3655263D2db2C7ece965557d3889be0716c48b,"1,285.06",0.02%,238.19,5,19.64,,,11.18,,0.00,,0.00,30.82,0.1472%,4.21,0.0996%,0.85,2.76%,,0.05%,0.7243%,"46,534.49","45,249.43",539.35,777.54,$80.59,3.26x,140.18%
,Geo Web,Geo Web,0xDE798cD9C53F4806B9Cc7dD27aDf7c641540167c,"24,196.73",0.38%,547.00,3,20.64,"$49,000",0,11.18,,0.00,,0.00,31.82,0.1520%,31.82,0.7525%,16.04,50.40%,,0.88%,0.7525%,"48,188.66","23,991.92","10,155.53","10,702.53","$1,109.34",19.57x,140.18%
,DePo DAO,DePo DAO,0x3792acDf2A8658FBaDe0ea70C47b89cB7777A5a5,754.29,0.01%,56.38,2,6.68,,,11.18,,0.00,,0.00,17.86,0.0853%,2.47,0.0585%,0.50,2.80%,,0.03%,0.4209%,"26,958.42","26,204.12",316.58,372.96,$38.66,6.62x,140.18%
,Civichub ,Civichub,0x97Fb4845bf7bD7156B30ef09AE94419956FE3A90,683.65,0.01%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,2.24,0.0530%,0.45,4.05%,,0.02%,0.2639%,"16,876.40","16,192.75",286.93,286.93,$29.74,,140.18%
,EthCC by Ethereum France,Ethereum France,0x04A8A22e5eF364c5237Df13317c4F083f32C2Cc4,443.48,0.01%,300.19,8,29.23,,,11.18,,0.00,,0.00,40.41,0.1930%,1.45,0.0344%,0.29,0.73%,,0.02%,0.9471%,"60,995.09","60,551.60",186.13,486.32,$50.41,1.62x,140.18%
,Web3Bridge,Web3Bridge,0xC34ad4A95adCD9021182fd5607ED822DB738E7c4,356.12,0.01%,"1,577.19",38,148.45,,,11.18,,0.00,,0.00,159.63,0.7624%,1.16,0.0274%,0.24,0.15%,,0.01%,3.6392%,"240,914.14","240,558.02",149.47,"1,726.66",$178.97,1.09x,140.18%
,Minerva Wallet by lab10 collective,lab10 collective,0x9fC13b4E1C4206970a1C4520d2f77336CD5D0e0a,300.00,0.00%,698.19,11,52.35,,,11.18,,0.00,,0.00,63.53,0.3034%,0.98,0.0232%,0.20,0.31%,,0.01%,1.4808%,"95,880.14","95,580.14",125.91,824.10,$85.42,1.18x,140.18%
,Abridged,Abridged,0x0efE994201e2b0136DD40D5033b5F437e4c5F958,0.00,0.00%,28.19,2,4.72,,,11.18,,0.00,,0.00,15.90,0.0760%,0.00,0.0000%,0.00,0.00%,,0.00%,0.3747%,"23,994.47","23,994.47",0.00,28.19,$2.92,1.00x,0.00%
,Senary Commonwealth,Senary Commonwealth,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,Crypto Kids Camp,Crypto Kids Camp,0x83b08111c4b42cb7188118ebd6739749384077c4,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,Freedom in Tech Alliance,Freedom in Tech Alliance,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,The Bigger Pie,The Bigger Pie,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,ThinkBetter,ThinkBetter,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,ArtFan,ArtFan,0xb8A7493995411569E9147306bcfE61e4372882AE,0.00,0.00%,0.00,0,0.00,"$10,000",30,547.72,,0.00,,0.00,547.72,2.6159%,0.00,0.0000%,0.00,0.00%,,0.00%,11.4687%,"826,421.32","826,421.32",0.00,0.00,$0.00,,0.00%
,Breadchain Cooperative,Breadchain Cooperative,0xD547bd0C023c3aDb8E0F2CC47340f5A4657be910,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,Microsolidarity,Microsolidarity,0x7b52bE43a8D47ecebd7EB4c492480500E21827ad,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,Humanetics Workshop,Humanetics Workshop,0x9277b013EcDB1f308b41cD8bc1ADdc097deD37c3,0.00,0.00%,0.00,0,0.00,$35,15,33.54,,0.00,,0.00,33.54,0.1602%,0.00,0.0000%,0.00,0.00%,,0.00%,0.7870%,"50,607.76","50,607.76",0.00,0.00,$0.00,,0.00%
,GenerousAF Foundation,GenerousAF Foundation,0x485c055099EFc4A1B69D7F036e1b1d20F18eC78E,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,Akorn,Akorn,0x5A6C1AFa7d14FD608af17d7e58e8DB52DF5d66Ea,0.00,0.00%,0.00,0,0.00,$0,50,111.80,,0.00,,0.00,111.80,0.5340%,0.00,0.0000%,0.00,0.00%,,0.00%,2.5762%,"168,692.55","168,692.55",0.00,0.00,$0.00,,0.00%
,Delicious Democracy,Delicious Democracy,0x85554903A217e3D8df4569F5C1EEB122f5323dFB,0.00,0.00%,0.00,0,0.00,"$1,606",20,179.25,,0.00,,0.00,179.25,0.8561%,0.00,0.0000%,0.00,0.00%,,0.00%,4.0670%,"270,454.93","270,454.93",0.00,0.00,$0.00,,0.00%
,Socialstack,Socialstack,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
,PizzaDAO,PizzaDAO,,0.00,0.00%,0.00,0,0.00,,,11.18,,0.00,,0.00,11.18,0.0534%,0.00,0.0000%,0.00,0.00%,,0.00%,0.2637%,"16,869.25","16,869.25",0.00,0.00,$0.00,,0.00%
